job	name	srch	link	AveragePay	MinPay	MaxPay	AverageAdditional	MinAdditional	MaxAdditional	AveragePayRaw	MinPayRaw	MaxPayRaw	AdditionalCashRaw	AdditionalRangeRaw
director-it	Information Technology	SRCH_KO0,11	https://www.glassdoor.com/Salaries/director-it-salary-SRCH_KO0,11.htm	130421	92000	170000	19866	5112	45110	$130,421	$92KLow	$170KHigh	$19,866	$5,112 - $45,110
gis-analyst	Information Technology	SRCH_KO0,11	https://www.glassdoor.com/Salaries/gis-analyst-salary-SRCH_KO0,11.htm	55330	40000	78000	2579	762	9334	$55,330	$40KLow	$78KHigh	$2,579	$762 - $9,334
senior-systems-engineer	Information Technology	SRCH_KO0,23	https://www.glassdoor.com/Salaries/senior-systems-engineer-salary-SRCH_KO0,23.htm	93635	69000	131000	6920	1697	30622	$93,635	$69KLow	$131KHigh	$6,920	$1,697 - $30,622
information-security-analyst	Information Technology	SRCH_KO0,28	https://www.glassdoor.com/Salaries/information-security-analyst-salary-SRCH_KO0,28.htm	80865	57000	137000	5551	1057	15464	$80,865	$57KLow	$137KHigh	$5,551	$1,057 - $15,464
attorney	Legal	SRCH_KO0,8	https://www.glassdoor.com/Salaries/attorney-salary-SRCH_KO0,8.htm	117188	76000	186000	10220	1898	38822	$117,188	$76KLow	$186KHigh	$10,220	$1,898 - $38,822
paralegal	Legal	SRCH_KO0,9	https://www.glassdoor.com/Salaries/paralegal-salary-SRCH_KO0,9.htm	53743	40000	73000	2294	572	9416	$53,743	$40KLow	$73KHigh	$2,294	$572 - $9,416
legal-assistant	Legal	SRCH_KO0,15	https://www.glassdoor.com/Salaries/legal-assistant-salary-SRCH_KO0,15.htm	46452	34000	64000	1425	454	7026	$46,452	$34KLow	$64KHigh	$1,425	$454 - $7,026
legal-secretary	Legal	SRCH_KO0,15	https://www.glassdoor.com/Salaries/legal-secretary-salary-SRCH_KO0,15.htm	53610	37000	72000	1746	445	6158	$53,610	$37KLow	$72KHigh	$1,746	$445 - $6,158
associate-attorney	Legal	SRCH_KO0,18	https://www.glassdoor.com/Salaries/associate-attorney-salary-SRCH_KO0,18.htm	123016	81000	196000	10053	1836	39712	$123,016	$81KLow	$196KHigh	$10,053	$1,836 - $39,712
general-counsel	Legal	SRCH_KO0,15	https://www.glassdoor.com/Salaries/general-counsel-salary-SRCH_KO0,15.htm	207358	144000	276000	40405	9162	130261	$207,358	$144KLow	$276KHigh	$40,405	$9,162 - $130,261
counsel	Legal	SRCH_KO0,7	https://www.glassdoor.com/Salaries/counsel-salary-SRCH_KO0,7.htm	135292	93000	196000	19418	3883	51468	$135,292	$93KLow	$196KHigh	$19,418	$3,883 - $51,468
legal-administrative-assistant	Legal	SRCH_KO0,30	https://www.glassdoor.com/Salaries/legal-administrative-assistant-salary-SRCH_KO0,30.htm	44950	30000	62000	1788	442	7543	$44,950	$30KLow	$62KHigh	$1,788	$442 - $7,543
lawyer	Legal	SRCH_KO0,6	https://www.glassdoor.com/Salaries/lawyer-salary-SRCH_KO0,6.htm	117188	76000	186000	10220	1898	38822	$117,188	$76KLow	$186KHigh	$10,220	$1,898 - $38,822
contract-administrator	Legal	SRCH_KO0,22	https://www.glassdoor.com/Salaries/contract-administrator-salary-SRCH_KO0,22.htm	59399	42000	83000	2698	626	9268	$59,399	$42KLow	$83KHigh	$2,698	$626 - $9,268
in-house-counsel	Legal	SRCH_KO0,16	https://www.glassdoor.com/Salaries/in-house-counsel-salary-SRCH_KO0,16.htm	115316	70000	179000	16144	489	70008	$115,316	$70KLow	$179KHigh	$16,144	$489 - $70,008
law-clerk	Legal	SRCH_KO0,9	https://www.glassdoor.com/Salaries/law-clerk-salary-SRCH_KO0,9.htm	57105	38000	94000	1042	298	7932	$57,105	$38KLow	$94KHigh	$1,042	$298 - $7,932
litigation-paralegal	Legal	SRCH_KO0,20	https://www.glassdoor.com/Salaries/litigation-paralegal-salary-SRCH_KO0,20.htm	53743	40000	73000	2294	572	9416	$53,743	$40KLow	$73KHigh	$2,294	$572 - $9,416
staff-attorney	Legal	SRCH_KO0,14	https://www.glassdoor.com/Salaries/staff-attorney-salary-SRCH_KO0,14.htm	82782	52000	133000	8074	1593	28708	$82,782	$52KLow	$133KHigh	$8,074	$1,593 - $28,708
corporate-counsel	Legal	SRCH_KO0,17	https://www.glassdoor.com/Salaries/corporate-counsel-salary-SRCH_KO0,17.htm	140727	100000	180000	16213	3141	43059	$140,727	$100KLow	$180KHigh	$16,213	$3,141 - $43,059
legal-counsel	Legal	SRCH_KO0,13	https://www.glassdoor.com/Salaries/legal-counsel-salary-SRCH_KO0,13.htm	130911	90000	191000	15702	3165	41797	$130,911	$90KLow	$191KHigh	$15,702	$3,165 - $41,797
legal-intern	Legal	SRCH_KO0,12	https://www.glassdoor.com/Salaries/legal-intern-salary-SRCH_KO0,12.htm	70181	56000	87000				$70,181	$56KLow	$87KHigh	NaN	NaN - NaN
